countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
Norway,Søndag,Søndag,,NO,2022-09-18T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-09-18T00:00:00.000Z
Japan,敬老の日,敬老の日,,JP,2022-09-19T00:00:00.000Z
Japan,秋分の日,秋分の日,,JP,2022-09-23T00:00:00.000Z
South Africa,Heritage Day,Heritage Day,,ZA,2022-09-24T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-09-25T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-09-25T00:00:00.000Z
Czech,Den české státnosti,Den české státnosti,,CZ,2022-09-28T00:00:00.000Z
India,Gandhi Jayanti,Gandhi Jayanti,true,IN,2022-10-02T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-10-02T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-10-02T00:00:00.000Z
Germany,Tag der Deutschen Einheit,Tag der Deutschen Einheit,,DE,2022-10-03T00:00:00.000Z
Portugal,Implantação da República,Implantação da República,,PT,2022-10-05T00:00:00.000Z
Croatia,Dan neovisnosti,Dan neovisnosti,,HR,2022-10-08T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-10-09T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-10-09T00:00:00.000Z
Canada,Thanksgiving,Thanksgiving,,CA,2022-10-10T00:00:00.000Z
Japan,体育の日,体育の日,,JP,2022-10-10T00:00:00.000Z
United States,Columbus Day,Columbus Day,false,US,2022-10-10T00:00:00.000Z
Argentina,Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],,AR,2022-10-12T00:00:00.000Z
Brazil,Nossa Senhora Aparecida,Nossa Senhora Aparecida,,BR,2022-10-12T00:00:00.000Z
Spain,Día de la Hispanidad,Día de la Hispanidad,,ES,2022-10-12T00:00:00.000Z
Ukraine,День захисника України,День захисника України,,UA,2022-10-14T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-10-16T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-10-16T00:00:00.000Z
Colombia,Descubrimiento de América [Discovery of America](Observed),Descubrimiento de América [Discovery of America],,CO,2022-10-17T00:00:00.000Z
Hungary,Nemzeti ünnep,Nemzeti ünnep,,HU,2022-10-23T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-10-23T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-10-23T00:00:00.000Z
New Zealand,Labour Day,Labour Day,,NZ,2022-10-24T00:00:00.000Z
Austria,Nationalfeiertag,Nationalfeiertag,,AT,2022-10-26T00:00:00.000Z
Czech,Den vzniku samostatného československého státu,Den vzniku samostatného československého státu,,CZ,2022-10-28T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-10-30T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-10-30T00:00:00.000Z
Hungary,Mindenszentek előtti pihenőnap,Mindenszentek előtti pihenőnap,,HU,2022-10-31T00:00:00.000Z
Ireland,October Bank Holiday,October Bank Holiday,,IE,2022-10-31T00:00:00.000Z
Slovenia,dan reformacije,dan reformacije,,SI,2022-10-31T00:00:00.000Z
Austria,Allerheiligen,Allerheiligen,,AT,2022-11-01T00:00:00.000Z
Belgium,Allerheiligen,Allerheiligen,,BE,2022-11-01T00:00:00.000Z
Croatia,Svi sveti,Svi sveti,,HR,2022-11-01T00:00:00.000Z
France,Toussaint,Toussaint,,FR,2022-11-01T00:00:00.000Z
Hungary,Mindenszentek,Mindenszentek,,HU,2022-11-01T00:00:00.000Z
